2026-05-08 17:02:05 | INFO     | __main__ | =======================================================
2026-05-08 17:02:05 | INFO     | __main__ |   Job Market ETL Pipeline — Starting
2026-05-08 17:02:05 | INFO     | __main__ | =======================================================
2026-05-08 17:02:05 | INFO     | __main__ | [1/3] Extract: Fetching raw job data...
2026-05-08 17:02:05 | INFO     | app.extract | Fetching jobs from RemoteOK API...
2026-05-08 17:02:07 | INFO     | app.extract | Fetched 99 job records.
2026-05-08 17:02:07 | INFO     | __main__ | [2/3] Transform: Cleaning and normalizing data...
2026-05-08 17:02:07 | INFO     | app.transform | Transform complete: 99 clean records.
2026-05-08 17:02:07 | INFO     | __main__ | [3/3] Load: Writing data to PostgreSQL...
2026-05-08 17:02:07 | INFO     | app.load | Applying schema from C:\Users\User\Documents\GitHub\Job-Market-Pipeline\db\schema.sql...
2026-05-08 17:02:07 | INFO     | app.load | Schema applied successfully.
2026-05-08 17:02:07 | INFO     | app.load | Loading 99 records into 'job_postings'...
2026-05-08 17:02:08 | INFO     | app.load | Successfully loaded 99 rows into 'job_postings'.
2026-05-08 17:02:08 | INFO     | __main__ | =======================================================
2026-05-08 17:02:08 | INFO     | __main__ |   Pipeline completed successfully ✓
2026-05-08 17:02:08 | INFO     | __main__ | =======================================================
2026-05-08 17:21:27 | INFO     | __main__ | =======================================================
2026-05-08 17:21:27 | INFO     | __main__ |   Job Market ETL Pipeline — Starting
2026-05-08 17:21:27 | INFO     | __main__ | =======================================================
2026-05-08 17:21:27 | INFO     | __main__ | [1/3] Extract: Fetching raw job data...
2026-05-08 17:21:27 | INFO     | app.extract | Fetching jobs from RemoteOK API...
2026-05-08 17:21:28 | INFO     | app.extract | Fetched 99 job records.
2026-05-08 17:21:28 | INFO     | __main__ | [2/3] Transform: Cleaning and normalizing data...
2026-05-08 17:21:28 | INFO     | app.transform | Transform complete: 99 clean records.
2026-05-08 17:21:28 | INFO     | __main__ | [3/3] Load: Writing data to PostgreSQL...
2026-05-08 17:21:28 | INFO     | app.load | Applying schema from C:\Users\User\Documents\GitHub\Job-Market-Pipeline\db\schema.sql...
2026-05-08 17:21:28 | INFO     | app.load | Schema applied successfully.
2026-05-08 17:21:28 | INFO     | app.load | Loading 99 records into 'job_postings'...
2026-05-08 17:22:27 | INFO     | __main__ | =======================================================
2026-05-08 17:22:27 | INFO     | __main__ |   Job Market ETL Pipeline — Starting
2026-05-08 17:22:27 | INFO     | __main__ | =======================================================
2026-05-08 17:22:27 | INFO     | __main__ | [1/3] Extract: Fetching raw job data...
2026-05-08 17:22:27 | INFO     | app.extract | Fetching jobs from RemoteOK API...
2026-05-08 17:22:28 | INFO     | app.extract | Fetched 99 job records.
2026-05-08 17:22:28 | INFO     | __main__ | [2/3] Transform: Cleaning and normalizing data...
2026-05-08 17:22:28 | INFO     | app.transform | Transform complete: 99 clean records.
2026-05-08 17:22:28 | INFO     | __main__ | [3/3] Load: Writing data to PostgreSQL...
2026-05-08 17:22:28 | INFO     | app.load | Applying schema from C:\Users\User\Documents\GitHub\Job-Market-Pipeline\db\schema.sql...
2026-05-08 17:22:28 | INFO     | app.load | Schema applied successfully.
2026-05-08 17:22:28 | INFO     | app.load | Loading 99 records into 'job_postings'...
2026-05-08 17:27:29 | INFO     | __main__ | =======================================================
2026-05-08 17:27:29 | INFO     | __main__ |   Job Market ETL Pipeline — Starting
2026-05-08 17:27:29 | INFO     | __main__ | =======================================================
2026-05-08 17:27:29 | INFO     | __main__ | [1/3] Extract: Fetching raw job data...
2026-05-08 17:27:29 | INFO     | app.extract | Fetching jobs from RemoteOK API...
2026-05-08 17:27:30 | INFO     | app.extract | Fetched 99 job records.
2026-05-08 17:27:30 | INFO     | __main__ | [2/3] Transform: Cleaning and normalizing data...
2026-05-08 17:27:30 | INFO     | app.transform | Transform complete: 99 clean records.
2026-05-08 17:27:30 | INFO     | __main__ | [3/3] Load: Writing data to PostgreSQL...
2026-05-08 17:27:30 | INFO     | app.load | Applying schema from C:\Users\User\Documents\GitHub\Job-Market-Pipeline\db\schema.sql...
2026-05-08 17:27:31 | INFO     | app.load | Schema applied successfully.
2026-05-08 17:27:31 | INFO     | app.load | Loading 99 records into 'job_postings'...
2026-05-08 17:32:43 | INFO     | __main__ | =======================================================
2026-05-08 17:32:43 | INFO     | __main__ |   Job Market ETL Pipeline — Starting
2026-05-08 17:32:43 | INFO     | __main__ | =======================================================
2026-05-08 17:32:43 | INFO     | __main__ | [1/3] Extract: Fetching raw job data...
2026-05-08 17:32:43 | INFO     | app.extract | Fetching jobs from RemoteOK API...
2026-05-08 17:32:44 | INFO     | app.extract | Fetched 99 job records.
2026-05-08 17:32:44 | INFO     | __main__ | [2/3] Transform: Cleaning and normalizing data...
2026-05-08 17:32:44 | INFO     | app.transform | Transform complete: 99 clean records.
2026-05-08 17:32:44 | INFO     | __main__ | [3/3] Load: Writing data to PostgreSQL...
2026-05-08 17:32:44 | INFO     | app.load | Applying schema from C:\Users\User\Documents\GitHub\Job-Market-Pipeline\db\schema.sql...
2026-05-08 17:32:44 | INFO     | app.load | Schema applied successfully.
2026-05-08 17:32:44 | INFO     | app.load | Loading 99 records into 'job_postings'...
2026-05-08 17:41:28 | INFO     | __main__ | =======================================================
2026-05-08 17:41:28 | INFO     | __main__ |   Job Market ETL Pipeline — Starting
2026-05-08 17:41:28 | INFO     | __main__ | =======================================================
2026-05-08 17:41:28 | INFO     | __main__ | [1/3] Extract: Fetching raw job data...
2026-05-08 17:41:28 | INFO     | app.extract | Fetching jobs from RemoteOK API...
2026-05-08 17:41:30 | INFO     | app.extract | Fetched 99 job records.
2026-05-08 17:41:30 | INFO     | __main__ | [2/3] Transform: Cleaning and normalizing data...
2026-05-08 17:41:30 | INFO     | app.transform | Transform complete: 99 clean records.
2026-05-08 17:41:30 | INFO     | __main__ | [3/3] Load: Writing data to PostgreSQL...
2026-05-08 17:41:30 | INFO     | app.load | Applying schema from C:\Users\User\Documents\GitHub\Job-Market-Pipeline\db\schema.sql...
2026-05-08 17:41:30 | INFO     | app.load | Schema applied successfully.
2026-05-08 17:41:30 | INFO     | app.load | Loading 99 records into 'job_postings'...
2026-05-08 17:41:30 | INFO     | app.load | Successfully loaded 99 rows into 'job_postings'.
2026-05-08 17:41:30 | INFO     | __main__ | =======================================================
2026-05-08 17:41:30 | INFO     | __main__ |   Pipeline completed successfully ✓
2026-05-08 17:41:30 | INFO     | __main__ | =======================================================
2026-05-15 14:31:28 | INFO     | __main__ | =======================================================
2026-05-15 14:31:28 | INFO     | __main__ |   Job Market ETL Pipeline — Starting
2026-05-15 14:31:28 | INFO     | __main__ | =======================================================
2026-05-15 14:31:28 | INFO     | __main__ | [1/3] Extract: Fetching raw job data...
2026-05-15 14:31:28 | INFO     | app.extract | Fetching jobs from RemoteOK API...
2026-05-15 14:31:32 | INFO     | app.extract | Fetched 99 job records.
2026-05-15 14:31:32 | INFO     | __main__ | [2/3] Transform: Cleaning and normalizing data...
2026-05-15 14:31:32 | INFO     | app.transform | Transform complete: 99 clean records.
2026-05-15 14:31:32 | INFO     | __main__ | [3/3] Load: Writing data to PostgreSQL...
2026-05-15 14:31:32 | INFO     | app.load | Applying schema from C:\Users\User\Documents\GitHub\Job-Market-Pipeline\db\schema.sql...
2026-05-15 14:31:32 | INFO     | app.load | Schema applied successfully.
2026-05-15 14:31:32 | INFO     | app.load | Loading 99 records into 'job_postings'...
2026-05-15 14:31:33 | INFO     | app.load | Successfully loaded 99 rows into 'job_postings'.
2026-05-15 14:31:33 | INFO     | __main__ | =======================================================
2026-05-15 14:31:33 | INFO     | __main__ |   Pipeline completed successfully ✓
2026-05-15 14:31:33 | INFO     | __main__ | =======================================================
2026-05-15 15:07:24 | INFO     | __main__ | =======================================================
2026-05-15 15:07:24 | INFO     | __main__ |   Job Market ETL Pipeline — Starting
2026-05-15 15:07:24 | INFO     | __main__ | =======================================================
2026-05-15 15:07:24 | INFO     | __main__ | [1/3] Extract: Fetching raw job data...
2026-05-15 15:07:24 | INFO     | app.extract | Fetching jobs from RemoteOK API...
2026-05-15 15:07:26 | INFO     | app.extract | Fetched 99 job records.
2026-05-15 15:07:26 | INFO     | __main__ | [2/3] Transform: Cleaning and normalizing data...
2026-05-15 15:07:26 | INFO     | app.transform | Transform complete: 99 clean records.
2026-05-15 15:07:26 | INFO     | __main__ | [3/3] Load: Writing data to PostgreSQL...
2026-05-15 15:07:26 | INFO     | app.load | Applying schema from C:\Users\User\Documents\GitHub\Job-Market-Pipeline\db\schema.sql...
2026-05-15 15:07:26 | INFO     | app.load | Schema applied successfully.
2026-05-15 15:07:26 | INFO     | app.load | Loading 99 records into 'job_postings'...
2026-05-15 15:07:26 | INFO     | app.load | Successfully loaded 99 rows into 'job_postings'.
2026-05-15 15:07:26 | INFO     | __main__ | =======================================================
2026-05-15 15:07:26 | INFO     | __main__ |   Pipeline completed successfully ✓
2026-05-15 15:07:26 | INFO     | __main__ | =======================================================
